date,semester,rank,team,acronym,total.points,previous.points,diff.points
2024,2,1,Argentina,ARG,1867.25,1883.5,-16.25
2024,2,2,France,FRA,1859.78,1859.85,-0.07
2024,2,3,Spain,ESP,1853.27,1844.33,8.94000000000005
2024,2,4,England,ENG,1813.81,1807.83,5.98000000000002
2024,2,5,Brazil,BRA,1775.85,1784.37,-8.52
2024,2,6,Portugal,POR,1756.12,1752.68,3.43999999999983
2024,2,7,Netherlands,NED,1747.55,1748.24,-0.69
2024,2,8,Belgium,BEL,1740.62,1761.27,-20.65
2024,2,9,Italy,ITA,1731.51,1729.4,2.1099999999999
2024,2,10,Germany,GER,1703.79,1703.59,0.200000000000045
2024,2,11,Uruguay,URU,1695.91,1680.36,15.5500000000002
2024,2,12,Colombia,COL,1694.44,1724.37,-29.93
2024,2,13,Croatia,CRO,1691.59,1701.36,-9.77
2024,2,14,Morocco,MAR,1688.18,1681.57,6.61000000000013
2024,2,15,Japan,JPN,1652.79,1645.09,7.70000000000005
2024,2,16,USA,USA,1645.48,1630.97,14.51
2024,2,17,Senegal,SEN,1637.25,1627.13,10.1199999999999
2024,2,18,IR Iran,IRN,1635.31,1627.58,7.73000000000002
2024,2,19,Mexico,MEX,1627.4,1640.67,-13.27
2024,2,20,Switzerland,SUI,1625.16,1631.38,-6.22
2024,2,21,Denmark,DEN,1611.49,1617.34,-5.85
2024,2,22,Austria,AUT,1589.84,1589.17,0.669999999999845
2024,2,23,Korea Republic,KOR,1585.45,1589.93,-4.48
2024,2,24,Ecuador,ECU,1560.13,1536.32,23.8100000000002
2024,2,25,Ukraine,UKR,1554.94,1552.37,2.57000000000016
2024,2,26,Australia,AUS,1544.15,1552.77,-8.62
2024,2,27,Sweden,SWE,1540.2,1530.41,9.78999999999996
2024,2,30,Hungary,HUN,1517.57,1519.33,-1.76
2024,2,31,Canada,CAN,1515.96,1507.27,8.69000000000005
2024,2,33,Egypt,EGY,1513.48,1526.25,-12.77
2024,2,35,Poland,POL,1510.62,1523.19,-12.57
2024,2,36,Panama,PAN,1504.39,1493.8,10.5900000000001
2024,2,37,Algeria,ALG,1495.85,1496.94,-1.09
2024,2,46,Côte d'Ivoire,CIV,1478.47,1493.57,-15.1
2024,2,48,Qatar,QAT,1474.6,1478.6,-4.0
2024,2,50,Chile,CHI,1469.44,1455.22,14.22
2024,2,52,Tunisia,TUN,1464.42,1478.52,-14.1
2024,2,53,Paraguay,PAR,1458.26,1440.78,17.48
2024,2,54,Costa Rica,CRC,1454.99,1465.57,-10.58
2024,2,57,South Africa,RSA,1428.87,1415.98,12.8899999999999
2024,2,58,Uzbekistan,UZB,1424.93,1429.26,-4.33
2024,2,59,Saudi Arabia,KSA,1406.56,1422.67,-16.11
2024,2,62,Jamaica,JAM,1390.85,1405.36,-14.51
2024,2,64,Jordan,JOR,1375.91,1380.75,-4.84
2024,2,72,Cabo Verde,CPV,1328.51,1340.87,-12.36
2024,2,77,Ghana,GHA,1320.52,1338.73,-18.21
