date,home_team,away_team,team,scorer,minute,own_goal,penalty
22-01-2000,Ghana,Cameroon,Cameroon,Marc-Vivien Foé,19,False,False
22-01-2000,Ghana,Cameroon,Ghana,Kwame Ayew,57,False,False
23-01-2000,Egypt,Zambia,Egypt,Yasser Radwan,37,False,False
23-01-2000,Egypt,Zambia,Egypt,Hossam Hassan,50,False,False
23-01-2000,Nigeria,Tunisia,Nigeria,Jay-Jay Okocha,28,False,False
23-01-2000,Nigeria,Tunisia,Tunisia,Adel Sellimi,49,False,False
23-01-2000,Nigeria,Tunisia,Nigeria,Jay-Jay Okocha,58,False,False
23-01-2000,Nigeria,Tunisia,Nigeria,Victor Ikpeba,71,False,False
23-01-2000,Nigeria,Tunisia,Nigeria,Victor Ikpeba,77,False,False
23-01-2000,Nigeria,Tunisia,Tunisia,Zoubeir Baya,90,False,False
23-01-2000,South Africa,Gabon,Gabon,Shiva N'Zigou,21,False,False
23-01-2000,South Africa,Gabon,South Africa,Dumisa Ngobe,43,False,False
23-01-2000,South Africa,Gabon,South Africa,Shaun Bartlett,55,False,False
23-01-2000,South Africa,Gabon,South Africa,Shaun Bartlett,78,False,False
24-01-2000,Ivory Coast,Togo,Togo,Lantame Ouadja,19,False,False
24-01-2000,Ivory Coast,Togo,Ivory Coast,Tchiressoua Guel,38,False,True
25-01-2000,Burkina Faso,Senegal,Senegal,Henri Camara,4,False,False
25-01-2000,Burkina Faso,Senegal,Senegal,Pape Sarr,45,False,False
25-01-2000,Burkina Faso,Senegal,Burkina Faso,Ousmane Sanou,65,False,False
25-01-2000,Burkina Faso,Senegal,Senegal,Salif Keita,86,False,False
25-01-2000,Morocco,Congo,Morocco,Salaheddine Bassir,85,False,False
27-01-2000,Ghana,Togo,Ghana,Kwame Ayew,28,False,False
27-01-2000,Ghana,Togo,Ghana,Otto Addo,37,False,False
27-01-2000,South Africa,DR Congo,South Africa,Shaun Bartlett,44,False,False
28-01-2000,Cameroon,Ivory Coast,Cameroon,Raymond Kalla,29,False,False
28-01-2000,Cameroon,Ivory Coast,Cameroon,Samuel Eto'o,45,False,False
28-01-2000,Cameroon,Ivory Coast,Cameroon,Patrick M'Boma,90,False,False
28-01-2000,Egypt,Senegal,Egypt,Hossam Hassan,39,False,False
29-01-2000,Algeria,Gabon,Algeria,Farid Ghazi,12,False,False
29-01-2000,Algeria,Gabon,Algeria,Abdelhafid Tasfaout,41,False,False
29-01-2000,Algeria,Gabon,Algeria,Billel Dziri,89,False,False
29-01-2000,Algeria,Gabon,Gabon,Bruno Zita Mbanangoyé,89,False,False
31-01-2000,Ghana,Ivory Coast,Ivory Coast,Bonaventure Kalou,45,False,False
31-01-2000,Ghana,Ivory Coast,Ivory Coast,Donald-Olivier Sié,84,False,False
01-02-2000,Egypt,Burkina Faso,Burkina Faso,Ismaël Koudou,10,False,False
01-02-2000,Egypt,Burkina Faso,Burkina Faso,Ousmane Sanou,24,False,False
01-02-2000,Egypt,Burkina Faso,Egypt,Ahmed Salah Hosny,30,False,False
01-02-2000,Egypt,Burkina Faso,Egypt,Hossam Hassan,75,False,True
