date,home_team,away_team,team,scorer,minute,own_goal,penalty
22-01-2000,Ghana,Cameroon,Cameroon,Marc-Vivien Foé,19,FALSE,FALSE
22-01-2000,Ghana,Cameroon,Ghana,Kwame Ayew,57,FALSE,FALSE
23-01-2000,Egypt,Zambia,Egypt,Yasser Radwan,37,FALSE,FALSE
23-01-2000,Egypt,Zambia,Egypt,Hossam Hassan,50,FALSE,FALSE
23-01-2000,Nigeria,Tunisia,Nigeria,Jay-Jay Okocha,28,FALSE,FALSE
23-01-2000,Nigeria,Tunisia,Tunisia,Adel Sellimi,49,FALSE,FALSE
23-01-2000,Nigeria,Tunisia,Nigeria,Jay-Jay Okocha,58,FALSE,FALSE
23-01-2000,Nigeria,Tunisia,Nigeria,Victor Ikpeba,71,FALSE,FALSE
23-01-2000,Nigeria,Tunisia,Nigeria,Victor Ikpeba,77,FALSE,FALSE
23-01-2000,Nigeria,Tunisia,Tunisia,Zoubeir Baya,90,FALSE,FALSE
23-01-2000,South Africa,Gabon,Gabon,Shiva N'Zigou,21,FALSE,FALSE
23-01-2000,South Africa,Gabon,South Africa,Dumisa Ngobe,43,FALSE,FALSE
23-01-2000,South Africa,Gabon,South Africa,Shaun Bartlett,55,FALSE,FALSE
23-01-2000,South Africa,Gabon,South Africa,Shaun Bartlett,78,FALSE,FALSE
24-01-2000,Ivory Coast,Togo,Togo,Lantame Ouadja,19,FALSE,FALSE
24-01-2000,Ivory Coast,Togo,Ivory Coast,Tchiressoua Guel,38,FALSE,TRUE
25-01-2000,Burkina Faso,Senegal,Senegal,Henri Camara,4,FALSE,FALSE
25-01-2000,Burkina Faso,Senegal,Senegal,Pape Sarr,45,FALSE,FALSE
25-01-2000,Burkina Faso,Senegal,Burkina Faso,Ousmane Sanou,65,FALSE,FALSE
25-01-2000,Burkina Faso,Senegal,Senegal,Salif Keita,86,FALSE,FALSE
25-01-2000,Morocco,Congo,Morocco,Salaheddine Bassir,85,FALSE,FALSE
27-01-2000,Ghana,Togo,Ghana,Kwame Ayew,28,FALSE,FALSE
27-01-2000,Ghana,Togo,Ghana,Otto Addo,37,FALSE,FALSE
27-01-2000,South Africa,DR Congo,South Africa,Shaun Bartlett,44,FALSE,FALSE
28-01-2000,Cameroon,Ivory Coast,Cameroon,Raymond Kalla,29,FALSE,FALSE
28-01-2000,Cameroon,Ivory Coast,Cameroon,Samuel Eto'o,45,FALSE,FALSE
28-01-2000,Cameroon,Ivory Coast,Cameroon,Patrick M'Boma,90,FALSE,FALSE
28-01-2000,Egypt,Senegal,Egypt,Hossam Hassan,39,FALSE,FALSE
29-01-2000,Algeria,Gabon,Algeria,Farid Ghazi,12,FALSE,FALSE
29-01-2000,Algeria,Gabon,Algeria,Abdelhafid Tasfaout,41,FALSE,FALSE
29-01-2000,Algeria,Gabon,Algeria,Billel Dziri,89,FALSE,FALSE
29-01-2000,Algeria,Gabon,Gabon,Bruno Zita Mbanangoyé,89,FALSE,FALSE
29-01-2000,Zambia,Burkina Faso,Zambia,Dennis Lota,16,FALSE,FALSE
