team_name,confederation,composite_score,rank,total.points,status
Spain,UEFA,0.7973,3,1853.27,Projected (Direct)
France,UEFA,0.7781,2,1859.78,Projected (Direct)
Portugal,UEFA,0.7259,6,1756.12,Projected (Direct)
Belgium,UEFA,0.7232,8,1740.62,Projected (Direct)
Italy,UEFA,0.7113,9,1731.51,Projected (Direct)
Netherlands,UEFA,0.7088,7,1747.55,Projected (Direct)
Germany,UEFA,0.6839,10,1703.79,Projected (Direct)
Croatia,UEFA,0.6616,13,1691.59,Projected (Direct)
Switzerland,UEFA,0.6266,20,1625.16,Projected (Direct)
Denmark,UEFA,0.6068,21,1611.49,Projected (Direct)
Austria,UEFA,0.588,22,1589.84,Projected (Direct)
Sweden,UEFA,0.5779,27,1540.2,Projected (Direct)
Ukraine,UEFA,0.5638,25,1554.94,Projected (Direct)
Hungary,UEFA,0.5508,30,1517.57,Projected (Direct)
Poland,UEFA,0.5392,35,1510.62,Projected (Direct)
Panama,CONCACAF,0.5264,36,1504.39,Projected (Direct)
Costa Rica,CONCACAF,0.4706,54,1454.99,Projected (Direct)
Jamaica,CONCACAF,0.406,62,1390.85,Projected (Direct)
