team_name,avg_overall,max_overall,squad_size,avg_potential,avg_age,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic
Afghanistan,60.0,60,1,60.0,27.0,76.0,53.0,54.0,60.0,42.0,59.0
Albania,67.12,79,59,71.63,25.42,66.9,54.36,58.14,63.66,52.73,64.81
Algeria,70.62,84,60,75.03,25.72,69.62,62.03,65.65,71.37,50.43,64.22
Andorra,67.0,67,1,72.0,23.0,69.0,55.0,58.0,64.0,57.0,66.0
Angola,67.93,77,30,72.6,25.3,73.43,56.07,56.87,65.2,47.5,64.83
Antigua and Barbuda,60.25,65,4,62.5,26.0,78.75,53.75,51.25,61.25,37.75,57.25
Argentina,67.8,88,1061,72.61,26.17,68.42,54.54,59.27,64.57,54.19,65.7
Armenia,69.22,83,9,71.44,28.78,67.56,64.78,65.33,70.33,44.89,64.22
Australia,61.11,78,308,69.05,24.24,68.6,49.38,53.42,59.04,49.71,64.85
Austria,65.11,82,277,70.97,24.9,66.73,52.4,57.35,61.4,53.8,65.58
Azerbaijan,66.53,70,15,69.4,26.73,68.87,52.8,57.73,64.27,51.2,65.6
Bangladesh,72.0,72,1,73.0,27.0,64.0,50.0,66.0,67.0,73.0,73.0
Barbados,63.0,63,1,71.0,23.0,81.0,58.0,57.0,67.0,26.0,41.0
Belarus,65.0,68,3,72.0,22.67,67.67,61.33,57.33,62.67,32.67,64.0
Belgium,67.58,89,311,74.55,24.07,68.18,54.43,60.38,65.27,54.08,64.78
Benin,65.67,73,9,69.89,25.89,74.0,53.56,54.89,61.44,46.78,68.78
Bermuda,61.0,70,2,66.0,28.0,69.5,63.0,60.5,66.5,50.0,65.0
Bolivia,62.16,72,77,67.44,26.31,67.53,48.42,54.81,59.03,52.14,59.96
Bosnia and Herzegovina,66.67,81,64,71.2,26.19,64.7,54.3,58.39,63.09,52.41,67.88
Brazil,70.58,89,709,73.19,27.05,70.38,57.31,61.36,66.61,52.95,66.66
Bulgaria,66.62,77,24,72.0,24.79,67.79,51.46,56.5,60.58,54.92,67.0
Burkina Faso,65.39,81,28,73.86,22.64,71.96,51.89,56.5,64.32,44.86,62.54
Burundi,68.67,77,3,73.0,25.67,70.33,46.67,59.67,64.67,67.33,76.0
Cabo Verde,67.03,77,29,69.79,27.34,69.38,54.48,59.55,64.83,50.86,65.41
Cameroon,67.42,85,80,72.54,24.79,71.71,54.28,57.14,63.95,50.85,68.47
Canada,65.3,84,84,70.83,24.92,70.42,52.58,56.67,62.63,52.93,65.88
Central African Republic,72.25,78,4,75.0,27.25,74.0,61.75,59.75,68.0,50.75,72.0
Chad,73.0,73,1,74.0,27.0,74.0,74.0,53.0,70.0,32.0,81.0
Chile,65.98,77,168,70.83,26.61,68.54,51.49,57.41,62.18,51.82,65.38
China PR,56.23,71,401,60.96,26.42,65.93,45.09,49.58,55.4,48.86,61.31
Chinese Taipei,61.67,72,3,63.33,30.33,74.33,60.0,59.0,62.67,49.67,60.67
Colombia,68.22,85,212,72.75,26.29,71.27,53.35,58.18,63.4,52.66,65.66
Comoros,67.15,77,13,72.77,24.23,72.08,51.77,59.77,68.54,53.08,63.77
Congo,64.56,73,16,68.88,24.69,70.44,48.25,51.75,60.62,49.94,66.25
Congo DR,68.55,82,47,71.13,26.98,72.72,55.02,58.89,66.23,51.77,68.94
Costa Rica,67.15,71,13,72.31,25.46,72.38,56.31,56.77,64.08,47.69,62.77
Croatia,69.1,84,166,73.83,25.75,66.5,54.48,59.32,63.86,55.07,68.85
Cuba,65.5,66,2,68.0,26.5,74.5,57.5,59.0,65.5,41.0,60.0
Curacao,64.53,71,15,72.93,23.07,74.27,52.13,58.87,65.53,52.13,62.07
Cyprus,65.15,72,26,69.19,25.5,67.96,52.19,55.38,61.73,51.92,64.27
Czechia,71.15,85,93,74.46,26.29,69.39,59.03,63.35,67.25,56.22,70.59
Côte d'Ivoire,67.35,81,144,74.03,23.76,71.76,53.71,57.6,64.76,50.21,65.81
Denmark,66.55,83,385,73.25,24.54,67.61,54.88,58.76,63.91,52.95,66.11
Dominican Republic,65.11,75,9,71.33,24.33,68.44,52.89,57.33,66.11,53.67,62.89
Ecuador,66.79,87,124,71.45,25.93,73.27,54.3,58.48,64.56,52.59,64.66
Egypt,70.6,91,10,74.7,27.2,64.5,56.4,58.5,64.2,50.6,70.8
El Salvador,64.5,70,4,69.5,26.25,63.5,55.75,55.75,64.0,50.25,65.75
England,64.32,90,1495,69.78,24.92,68.65,51.84,56.68,62.1,52.95,65.28
Equatorial Guinea,65.91,76,11,70.27,25.91,67.82,57.36,55.73,63.09,47.18,64.45
Estonia,66.57,73,7,71.71,26.0,69.57,49.43,56.71,59.57,62.29,69.29
Faroe Islands,61.25,64,4,65.25,25.0,65.25,50.75,52.25,58.25,48.25,64.75
Finland,64.92,81,83,70.8,24.7,69.81,52.73,58.02,62.93,51.0,62.66
France,67.4,91,913,73.36,24.41,67.78,52.83,59.19,64.56,54.15,65.12
Gabon,70.1,81,10,73.2,27.6,72.3,54.7,61.1,66.6,53.9,66.0
Gambia,65.58,78,43,70.72,24.47,74.77,55.02,55.51,63.6,45.33,65.53
Georgia,67.79,87,34,74.09,24.03,70.12,54.76,59.88,65.88,51.09,63.53
Germany,65.9,89,1163,71.64,24.9,68.09,52.48,57.29,62.72,53.15,65.6
Ghana,66.62,83,138,72.83,24.47,73.49,54.62,57.19,64.91,48.98,64.19
Gibraltar,52.0,52,1,67.0,19.0,70.0,51.0,40.0,52.0,21.0,49.0
Greece,68.73,82,105,74.36,24.86,70.31,55.58,59.83,64.98,54.26,67.72
Grenada,64.12,69,8,64.88,28.75,72.75,51.62,56.75,61.88,59.88,70.0
Guatemala,65.75,71,4,70.5,26.75,72.5,57.0,61.25,67.0,48.25,61.75
Guinea,66.53,87,40,72.85,24.25,65.92,53.85,57.25,64.1,50.9,65.35
Guinea-Bissau,67.08,76,25,70.0,26.0,76.56,58.48,58.76,66.84,45.68,64.52
Guyana,63.14,71,7,66.29,24.86,71.71,50.29,55.14,61.0,54.0,64.14
Haiti,66.57,75,14,70.0,27.29,72.36,50.64,58.07,64.0,53.36,65.79
Honduras,67.64,73,11,71.45,26.36,72.36,55.45,61.0,66.45,51.91,66.27
Hong Kong,58.56,67,9,62.78,25.56,66.56,44.11,46.22,54.11,46.89,60.56
Hungary,67.77,85,62,71.92,26.13,68.24,54.5,59.21,63.19,54.61,66.97
Iceland,66.07,79,61,71.31,24.79,67.64,57.13,58.77,64.03,50.02,66.46
India,54.47,68,299,58.34,26.03,62.86,44.62,48.01,53.63,45.0,58.52
Indonesia,68.07,78,14,73.5,24.43,67.86,52.43,57.71,61.71,54.29,67.14
Iran,71.0,78,6,72.0,29.5,68.67,60.0,62.67,67.33,53.67,70.5
Iraq,65.43,68,14,71.93,23.57,72.86,58.57,59.21,66.64,44.64,63.79
Israel,68.64,77,22,74.18,23.73,71.41,58.09,59.5,66.18,49.91,65.27
Italy,67.57,89,652,72.75,25.28,66.97,53.97,59.02,64.01,55.83,64.25
Jamaica,64.73,79,44,69.41,26.02,71.84,53.77,54.66,62.16,48.39,65.11
Japan,68.53,82,103,72.67,25.66,72.03,56.87,60.91,66.73,52.76,64.49
Jordan,70.33,75,3,75.33,25.33,86.33,52.67,51.33,62.67,44.33,67.33
Kenya,64.75,73,12,69.25,24.67,78.75,48.58,55.42,62.83,53.92,67.5
Korea Republic,60.44,85,411,65.37,25.58,66.65,48.02,51.91,58.23,48.33,63.49
Kosovo,66.03,83,65,71.05,24.58,67.75,55.72,59.57,63.66,48.2,65.08
Latvia,64.86,72,7,67.43,25.43,66.57,55.71,57.0,60.43,49.86,68.43
Lebanon,63.0,64,2,69.0,25.5,70.5,55.5,53.5,61.5,28.5,65.5
Liberia,66.17,78,6,71.67,23.33,68.5,53.17,60.17,65.33,50.0,65.33
Libya,73.33,78,3,74.0,30.0,64.33,60.0,66.0,67.33,64.0,73.67
Liechtenstein,58.0,58,1,69.0,19.0,80.0,56.0,41.0,51.0,31.0,63.0
Lithuania,63.1,70,10,71.5,23.9,61.8,49.6,53.7,58.0,54.7,65.7
Luxembourg,65.73,77,15,71.47,25.2,66.07,47.2,56.27,61.13,57.8,66.27
Madagascar,68.67,72,6,69.67,27.83,68.33,57.83,60.67,64.33,61.33,74.0
Malawi,63.0,63,2,68.0,24.0,75.5,35.5,52.5,57.0,62.5,70.0
Malaysia,71.5,73,2,75.5,25.0,70.5,48.5,57.5,69.0,58.0,64.5
Mali,67.61,79,74,74.2,24.03,70.43,54.28,58.19,64.61,54.66,67.46
Malta,63.75,75,8,70.75,23.5,75.75,56.12,58.38,63.88,50.0,62.88
Mauritania,62.9,75,10,69.0,23.0,68.1,48.9,54.2,59.8,53.5,63.6
Mexico,70.59,80,44,75.07,25.07,72.18,58.09,62.34,67.91,54.32,66.02
Moldova,61.57,66,7,67.86,24.71,68.86,49.43,53.71,58.43,48.57,61.71
Montenegro,67.28,78,25,71.88,26.24,66.2,53.2,56.04,61.2,52.96,68.92
Montserrat,62.0,65,3,63.0,27.67,59.67,39.0,51.0,53.67,60.33,71.0
Morocco,68.51,89,142,74.72,24.46,69.56,57.37,61.18,67.43,49.4,63.15
Mozambique,73.5,79,4,75.75,27.25,84.25,60.5,64.25,73.0,65.25,63.5
Namibia,67.0,67,1,67.0,27.0,77.0,35.0,57.0,65.0,64.0,72.0
Netherlands,67.4,90,466,74.08,24.21,68.58,54.09,59.47,64.5,55.56,66.43
New Caledonia,61.0,61,1,65.0,25.0,56.0,42.0,53.0,57.0,61.0,65.0
