date,semester,rank,team_name,acronym,total.points,previous.points,diff.points,confederation,qualified_2026,total_goals,penalty_goals,own_goals,clean_goals,avg_overall,max_overall,squad_size,avg_potential,avg_age,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic,wc_total_goals,wc_tournaments,wc_experience_score,points_momentum,squad_quality,attack_rating,defense_rating,goal_efficiency,experience_factor,qualification_probability
2024,2,1,Argentina,ARG,1867.25,1883.5,-16.25,CONMEBOL,1,126.0,11.0,1.0,114.0,67.8,88.0,1061.0,72.61,26.17,68.42,54.54,59.27,64.57,54.19,65.7,152.0,18.0,496.0,-16.25,69.72,62.51,59.94,1.26,0.82,1.0
2024,2,2,France,FRA,1859.78,1859.85,-0.07,,0,170.0,18.0,9.0,143.0,67.4,91.0,913.0,73.36,24.41,67.78,52.83,59.19,64.56,54.15,65.12,136.0,15.0,437.0,-0.07,69.78,61.72,59.64,1.7,0.68,0.96
2024,2,3,Spain,ESP,1853.27,1844.33,8.94000000000005,,0,203.0,9.0,13.0,181.0,69.15,90.0,1036.0,74.58,25.39,67.93,56.34,62.25,66.2,55.22,64.23,108.0,16.0,392.0,8.94000000000005,71.32,63.49,59.72,2.03,0.73,0.94
2024,2,4,England,ENG,1813.81,1807.83,5.98000000000002,UEFA,1,202.0,27.0,10.0,165.0,64.32,90.0,1495.0,69.78,24.92,68.65,51.84,56.68,62.1,52.95,65.28,104.0,16.0,380.0,5.98000000000002,66.5,60.86,59.12,2.02,0.73,1.0
2024,2,5,Brazil,BRA,1775.85,1784.37,-8.52,CONMEBOL,1,139.0,12.0,1.0,126.0,70.58,89.0,709.0,73.19,27.05,70.38,57.31,61.36,66.61,52.95,66.66,237.0,22.0,704.0,-8.52,71.62,64.77,59.8,1.39,1.0,1.0
2024,2,6,Portugal,POR,1756.12,1752.68,3.43999999999983,,0,201.0,19.0,5.0,177.0,69.67,89.0,349.0,74.72,25.28,70.01,56.42,62.08,67.39,55.56,65.19,61.0,8.0,211.0,3.43999999999983,71.69,64.61,60.38,2.01,0.36,0.88
2024,2,7,Netherlands,NED,1747.55,1748.24,-0.69,,0,166.0,12.0,3.0,151.0,67.4,90.0,466.0,74.08,24.21,68.58,54.09,59.47,64.5,55.56,66.43,96.0,10.0,302.0,-0.69,70.07,62.39,61.0,1.66,0.45,0.86
2024,2,8,Belgium,BEL,1740.62,1761.27,-20.65,,0,223.0,14.0,6.0,203.0,67.58,89.0,311.0,74.55,24.07,68.18,54.43,60.38,65.27,54.08,64.78,69.0,13.0,271.0,-20.65,70.37,62.63,59.43,2.23,0.59,0.84
2024,2,9,Italy,ITA,1731.51,1729.4,2.1099999999999,,0,143.0,17.0,4.0,122.0,67.57,89.0,652.0,72.75,25.28,66.97,53.97,59.02,64.01,55.83,64.25,128.0,18.0,444.0,2.1099999999999,69.64,61.65,60.04,1.43,0.82,0.82
2024,2,10,Germany,GER,1703.79,1703.59,0.200000000000045,,0,194.0,13.0,5.0,176.0,65.9,89.0,1163.0,71.64,24.9,68.09,52.48,57.29,62.72,53.15,65.6,101.0,10.0,305.0,0.200000000000045,68.2,61.1,59.38,1.94,0.45,0.8
