team_name,wc_total_goals,wc_penalties,wc_own_goals,wc_tournaments,wc_experience_score
Algeria,13,1,0,3,57
Angola,1,0,0,1,12
Argentina,152,12,2,18,496
Australia,17,4,1,5,88
Austria,43,3,2,7,159
Belgium,69,3,2,13,271
Bolivia,1,0,0,1,12
Bosnia and Herzegovina,4,0,0,1,18
Brazil,237,10,1,22,704
Bulgaria,22,3,1,7,117
Cameroon,22,2,0,8,126
Canada,2,0,1,1,14
Chile,40,3,1,9,173
Colombia,32,3,0,6,127
Costa Rica,22,0,1,6,104
Croatia,43,2,2,6,148
Cuba,5,0,0,1,20
Czech Republic,3,0,0,1,16
Czechoslovakia,44,7,0,7,165
Denmark,31,4,0,6,126
East Germany,5,0,1,1,20
Ecuador,14,1,0,4,69
Egypt,5,2,0,3,42
El Salvador,1,0,0,1,12
England,104,12,2,16,380
France,136,15,6,15,437
Germany,101,3,3,10,305
Ghana,18,3,0,4,79
Greece,5,1,0,2,31
Haiti,2,0,0,1,14
Honduras,3,0,0,2,26
Hungary,87,4,2,9,268
Iceland,2,1,0,1,15
Iran,13,2,1,6,88
Iraq,1,0,0,1,12
Israel,1,0,0,1,12
Italy,128,8,4,18,444
Ivory Coast,13,2,0,3,58
Jamaica,3,0,0,1,16
Japan,25,1,0,7,121
Kuwait,2,0,0,1,14
Mexico,62,10,0,17,304
Morocco,20,0,0,6,100
Netherlands,96,10,1,10,302
New Zealand,4,0,0,2,28
Nigeria,23,2,1,6,108
North Korea,6,0,0,2,32
Northern Ireland,13,0,0,3,56
Norway,7,1,1,3,45
Panama,2,0,1,1,14
Paraguay,30,1,2,8,141
Peru,21,2,0,5,94
Poland,49,3,0,9,191
Portugal,61,9,3,8,211
Qatar,1,0,0,1,12
Republic of Ireland,10,1,0,3,51
Romania,30,2,0,7,132
Russia,24,4,1,4,92
Saudi Arabia,14,4,0,5,82
Scotland,25,3,1,7,123
Senegal,16,2,1,3,64
Serbia,9,0,0,3,48
Serbia and Montenegro,2,0,0,1,14
Slovakia,5,1,0,1,21
Slovenia,5,0,0,2,30
South Africa,11,2,0,3,54
South Korea,39,0,0,10,178
Soviet Union,53,2,1,7,178
Spain,108,16,2,16,392
Sweden,80,6,1,12,286
Switzerland,55,0,0,12,230
Togo,1,0,0,1,12
Tunisia,14,2,0,6,90
Turkey,20,0,0,2,60
Ukraine,5,1,0,1,21
United Arab Emirates,2,0,0,1,14
United States,40,2,3,11,192
Uruguay,89,4,1,14,322
Wales,5,1,0,2,31
West Germany,131,9,1,10,371
Yugoslavia,60,2,0,9,212
