team_name,avg_overall,max_overall,squad_size,avg_potential,avg_age,avg_pace,avg_shooting,avg_passing,avg_dribbling,avg_defending,avg_physic
Algeria,70.62,84.0,60,75.03,25.72,69.61666666666666,2.92,65.65,3.13,50.43333333333333,
Argentina,68.12,88.0,1037,72.73,26.31,68.49678111587983,2.85,59.73390557939914,2.44,54.261802575107296,
Australia,63.53,78.0,235,69.02,25.8,70.16587677725119,3.0,55.4739336492891,2.3,50.947867298578196,
Austria,66.04,82.0,254,71.18,25.39,66.46261682242991,2.96,58.26635514018692,2.29,53.728971962616825,
Belgium,68.53,89.0,291,75.04,24.38,68.34136546184739,3.14,61.65863453815261,2.4,54.25301204819277,
Brazil,70.81,89.0,699,73.25,27.17,70.59873617693523,2.94,61.95734597156398,2.55,52.76935229067931,
Cabo Verde,67.03,77.0,29,69.79,27.34,69.39285714285714,2.97,59.607142857142854,2.59,50.642857142857146,
Canada,66.17,84.0,78,70.94,25.37,70.81818181818181,2.88,57.03030303030303,2.26,53.28787878787879,
Chile,66.59,77.0,159,70.94,27.0,68.56834532374101,2.91,57.8705035971223,2.38,51.9568345323741,
Colombia,68.57,85.0,207,72.85,26.46,71.67179487179487,2.87,58.53846153846154,2.51,52.63076923076923,
Costa Rica,67.15,71.0,13,72.31,25.46,73.0,3.15,56.54545454545455,2.62,46.0,
Croatia,69.1,84.0,166,73.83,25.75,66.19594594594595,3.1,59.479729729729726,2.43,54.83783783783784,
Côte d'Ivoire,68.01,81.0,137,74.42,23.96,72.23134328358209,2.86,58.11940298507463,2.59,51.12686567164179,
Denmark,66.95,83.0,372,73.3,24.73,67.5327380952381,3.02,59.223214285714285,2.36,52.607142857142854,
Ecuador,67.09,87.0,121,71.44,26.1,73.70535714285714,2.82,58.80357142857143,2.6,52.50892857142857,
Egypt,75.12,91.0,8,77.12,28.88,64.125,3.12,61.75,2.62,53.375,
England,65.68,90.0,1323,70.18,25.63,68.73551637279597,2.96,57.81192275398824,2.36,53.698572628043664,
France,67.69,91.0,894,73.49,24.52,67.82885085574573,2.84,59.544009779951104,2.48,54.11491442542787,
Germany,66.5,89.0,1103,71.82,25.17,68.09538784067085,3.12,57.65303983228512,2.28,52.84486373165618,
Ghana,67.01,83.0,134,72.93,24.63,74.09375,2.93,57.5078125,2.68,48.78125,
Hungary,67.98,85.0,61,72.15,26.15,68.3076923076923,3.0,59.53846153846154,2.25,54.19230769230769,
Italy,68.14,89.0,623,72.93,25.55,66.8193668528864,2.96,59.66294227188082,2.33,56.28864059590317,
Jamaica,66.33,79.0,39,69.87,26.92,72.5945945945946,2.92,55.75675675675676,2.54,49.810810810810814,
Japan,69.42,82.0,97,73.27,25.95,72.41489361702128,3.2,61.58510638297872,2.6,53.680851063829785,
Jordan,70.33,75.0,3,75.33,25.33,86.33333333333333,3.67,51.333333333333336,2.67,44.333333333333336,
Korea Republic,64.45,85.0,290,67.34,27.38,68.8984962406015,3.24,55.045112781954884,2.43,50.402255639097746,
Mexico,71.29,80.0,42,75.5,25.29,72.97142857142858,2.79,63.857142857142854,2.43,55.31428571428572,
Morocco,69.02,89.0,137,74.9,24.66,69.77272727272727,3.09,61.696969696969695,2.89,49.378787878787875,
Netherlands,67.74,90.0,453,74.23,24.36,68.53164556962025,3.08,59.78227848101266,2.37,55.336708860759494,
New Zealand,64.14,82.0,44,69.61,25.34,69.48648648648648,2.84,57.891891891891895,2.2,54.13513513513514,
Panama,67.36,76.0,14,71.86,26.79,66.16666666666667,2.71,60.0,2.14,55.416666666666664,
Paraguay,66.48,79.0,153,71.21,26.1,68.14788732394366,2.75,56.929577464788736,2.42,50.58450704225352,
Poland,66.11,88.0,293,70.63,25.51,68.3734439834025,2.78,58.28630705394191,2.24,52.531120331950206,
Portugal,69.78,89.0,347,74.76,25.32,70.15974440894568,2.89,62.60063897763578,2.59,55.56549520766773,
Qatar,67.53,78.0,30,70.77,28.27,70.53846153846153,3.17,59.42307692307692,2.23,53.76923076923077,
Saudi Arabia,62.4,82.0,206,66.26,26.87,70.24338624338624,3.01,53.70899470899471,2.25,50.666666666666664,
Senegal,68.19,83.0,137,73.71,24.82,71.14285714285714,2.83,57.22222222222222,2.42,49.46031746031746,
South Africa,66.2,73.0,15,72.53,23.6,76.4,2.67,56.53333333333333,2.73,50.666666666666664,
Spain,69.22,90.0,1031,74.63,25.41,67.81681034482759,3.06,62.779094827586206,2.51,55.015086206896555,
Sweden,65.61,88.0,381,71.23,25.27,68.07964601769912,2.92,57.554572271386434,2.33,51.392330383480825,
Switzerland,66.95,87.0,213,72.48,25.0,68.45263157894736,2.98,57.83684210526316,2.35,52.89473684210526,
Tunisia,67.67,80.0,30,72.4,25.07,69.76666666666667,3.07,60.666666666666664,2.87,53.6,
Ukraine,69.49,83.0,93,74.35,25.18,70.0625,2.99,62.125,2.3,55.1375,
Uruguay,68.63,89.0,246,72.61,26.71,68.43555555555555,2.83,59.026666666666664,2.45,53.72888888888889,
Uzbekistan,69.4,77.0,5,76.4,23.6,70.4,3.0,60.0,2.8,53.0,
